@relation winequality-white-weka.filters.unsupervised.attribute.AddID-Cfirst-NID-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.AddID-Cfirst-Ntype_of_wine-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement

@attribute type_of_wine numeric
@attribute fixed_acidity numeric
@attribute volatile_acidity numeric
@attribute citric_acid numeric
@attribute residual_sugar numeric
@attribute chlorides numeric
@attribute free_sulfur_dioxide numeric
@attribute total_sulfur_dioxide numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {quality,3,4,5,6,7,8,9}

@data
3090,6.2,0.36,0.38,3.2,0.031,20,89,0.98956,3.06,0.33,12,7
4282,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5
6331,5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6
581,7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
2523,7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8
1624,7,0.14,0.49,5.9,0.053,22,118,0.9954,3.36,0.36,9.4,6
327,7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10,6
856,7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,7
4949,8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5
4583,6.3,0.37,0.51,6.3,0.048,35,146,0.9943,3.1,1.01,10.5,6
6163,8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,6
3979,6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4,7
844,6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7
3283,6.7,0.12,0.36,2.3,0.039,43,125,0.99229,3.07,0.67,10.1,7
6304,7.7,0.28,0.3,2,0.062,18,34,0.9952,3.28,0.9,11.3,7
5363,11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,6
4539,7.1,0.09,0.3,6.2,0.032,24,134,0.993,2.99,0.39,10.9,6
2152,7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5
1976,6.8,0.27,0.35,7.8,0.048,76,197,0.9959,3.24,0.43,9.5,6
5475,9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,4
3714,6.6,0.28,0.23,10.4,0.049,45,190,0.99754,3.12,0.51,8.8,5
3748,6.8,0.22,0.3,10.6,0.07,67,194,0.99654,2.89,0.42,9,6
5461,9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,5
4708,5.6,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6
4088,6.5,0.21,0.42,1.1,0.059,33,101,0.9927,3.12,0.38,9.7,6
1032,6.2,0.34,0.29,7.6,0.047,45,232,0.9955,3.35,0.62,10,6
103,6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5
1780,6.4,0.15,0.36,1.8,0.034,43,150,0.9922,3.42,0.69,11,8
4517,6.2,0.32,0.32,2.2,0.036,15,70,0.9899,3.16,0.48,12.7,6
2977,6.8,0.32,0.39,9.6,0.026,34,124,0.99286,3.18,0.35,12.1,6
3868,7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2,5
3810,7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,6
631,7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,5
4760,6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10,6
4013,6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6
2164,8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6
4406,5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,5
1229,9.4,0.26,0.53,1.2,0.047,25,109,0.9921,3.23,0.28,12.5,6
2922,6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5,6
5635,7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5
5465,8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6
62,6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6
5292,8.4,0.665,0.61,2,0.112,13,95,0.997,3.16,0.54,9.1,5
5980,7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7
3128,7.6,0.3,0.38,2.1,0.043,10,98,0.99296,3.17,0.65,11,5
1641,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10,5
1333,7.9,0.16,0.64,17,0.05,69,210,1.0004,3.15,0.51,9.3,7
3236,5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6
6032,7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,7
2767,6.9,0.16,0.37,1.8,0.034,36,95,0.98952,2.93,0.59,12,6
6173,7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6
3015,7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6
1084,7.4,0.2,0.37,16.95,0.048,43,190,0.9995,3.03,0.42,9.2,6
5381,10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5
3311,6.3,0.3,0.29,2.1,0.048,33,142,0.98956,3.22,0.46,12.9,7
5867,9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,6
5384,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5
4727,6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,6
4638,6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.733333,6
1963,8.2,0.21,0.48,1.4,0.041,11,99,0.9958,3.17,0.57,9.9,5
5494,8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,5
1235,7.7,0.26,0.31,1.3,0.043,47,155,0.9937,3.42,0.5,10.1,6
136,6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5
4215,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
209,6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5
6007,8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,5
5832,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
3093,7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6
4726,6.9,0.31,0.33,12.7,0.038,33,116,0.9954,3.04,0.65,10.4,6
2968,6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6
4125,6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,7
4221,6,0.19,0.29,1.2,0.046,29,92,0.99033,3.22,0.53,11.3,6
1764,7.3,0.21,0.3,10.9,0.037,18,112,0.997,3.4,0.5,9.6,6
43,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6
836,7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,8
4498,6.3,0.29,0.3,8.1,0.212,60,150,0.9958,3.1,0.4,9.3,5
4103,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10,5
4837,6.7,0.5,0.36,11.5,0.096,18,92,0.99642,3.11,0.49,9.6,5
1951,8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5
6078,8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6
4047,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,7
2102,6.8,0.28,0.35,2.3,0.042,16,85,0.9906,3.19,0.56,12.4,6
174,6.3,0.22,0.43,4.55,0.038,31,130,0.9918,3.35,0.33,11.5,7
3181,6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6
807,6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5
3506,6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,7
2426,7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6
2570,6.6,0.24,0.24,8.6,0.034,25,135,0.99582,3.33,0.59,10.3,6
3220,6.2,0.35,0.31,2.6,0.036,37,92,0.98938,3.27,0.53,12.8,7
14,6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7
3577,7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5
2368,7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,6
5190,11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5
1156,7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5,4
2971,8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,5
1549,7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,6
4217,7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
5073,7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5
998,6.1,0.24,0.27,9.8,0.062,33,152,0.9966,3.31,0.47,9.5,6
1195,6.2,0.37,0.22,8.3,0.025,36,216,0.9964,3.33,0.6,9.6,6
4042,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5
5600,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,6
252,8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,3
877,6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,9
3575,8.1,0.17,0.21,1.6,0.036,24,119,0.99396,3.18,0.52,10.1,6
1592,6.4,0.12,0.49,6.4,0.042,49,161,0.9945,3.34,0.44,10.4,6
2374,7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3
2866,5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,6
5039,8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5
428,6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
2565,6.6,0.41,0.16,1.4,0.037,28,160,0.99167,2.95,0.45,10.6,6
6413,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.233333,6
3290,6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5
183,6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5
2392,6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,6
634,6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5
5793,7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6
799,5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4,6
1791,9.4,0.16,0.3,1.4,0.042,26,176,0.9954,3.15,0.46,9.1,5
2836,6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,6
3428,5.8,0.24,0.26,10.05,0.039,63,162,0.99375,3.33,0.5,11.2,6
1262,7.3,0.19,0.68,1.5,0.05,31,156,0.9946,3.32,0.64,9.4,6
4333,7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8
6170,7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6
5998,8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5
6485,7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,6
1305,8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,5
1827,6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5
6299,7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5
1649,7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,5
5006,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5
742,5.8,0.2,0.3,1.5,0.031,21,57,0.99115,3.44,0.55,11,6
4164,7.2,0.26,0.38,1.5,0.061,12,120,0.99192,3.18,0.46,10.4,5
4950,6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6
4050,6.8,0.16,0.36,1.3,0.034,32,98,0.99058,3.02,0.58,11.3,6
4206,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,6
2786,6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,5
4355,6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,6
5953,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6
27,6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6
6203,7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,5
5948,9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,6
4389,6.7,0.26,0.29,7.1,0.036,28,100,0.99534,3.08,0.36,9.3,6
2155,9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4
2057,6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
4041,6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,5
3126,7.4,0.23,0.38,8.6,0.052,41,150,0.99534,3.06,0.46,10.3,5
3694,6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7
2240,6.9,0.44,0.42,8.5,0.048,10,147,0.9974,3.32,0.46,9.5,6
2548,6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
3061,6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,5
3019,6.8,0.22,0.31,6.9,0.037,33,121,0.99176,3.02,0.39,11.9,8
556,9.2,0.25,0.34,1.2,0.026,31,93,0.9916,2.93,0.37,11.3,7
4621,6.4,0.38,0.19,4.5,0.038,36,119,0.99151,3.07,0.42,11.2,6
3666,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8
813,6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7
120,7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5
5988,11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7
3646,5.9,0.18,0.28,5.1,0.039,50,139,0.99165,3.16,0.44,11.3,6
6105,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
1822,7.4,0.29,0.31,1.7,0.035,23,110,0.9926,3.07,0.38,10.9,5
5261,11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5
1426,6.8,0.22,0.49,0.9,0.052,26,128,0.991,3.25,0.35,11.4,6
6429,6.6,0.44,0.09,2.2,0.063,9,18,0.99444,3.42,0.69,11.3,6
2729,6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6
762,7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,6
59,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6
5652,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
175,7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,5
5343,5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7
2274,6.1,0.46,0.32,6.2,0.053,10,94,0.99537,3.35,0.47,10.1,5
5538,8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,6
2123,6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9,5
2571,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
6296,7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,5
6297,7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7
3856,5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,6
329,6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,6
4297,6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,6
4127,6.3,0.18,0.22,5.6,0.047,45,147,0.99383,3.09,0.54,10,5
107,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5
5330,7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,5
5010,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5
6181,7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,6
2376,7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6
563,7.7,0.34,0.27,8.8,0.063,39,184,0.9969,3.09,0.63,9.2,6
5923,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7
5520,8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5
4152,7.4,0.26,0.32,3.7,0.032,29,193,0.99134,3.1,0.67,12.5,6
966,8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5
604,6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
5594,5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6
975,7.1,0.13,0.38,1.8,0.046,14,114,0.9925,3.32,0.9,11.7,6
1745,6.6,0.22,0.58,1.1,0.133,52,136,0.9932,3.1,0.3,9.1,5
5002,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
2489,7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
65,7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6
963,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
1518,8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,6
1955,8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5
489,7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,6
5711,10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5
1992,7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
691,6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,4
195,6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5
5149,10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6
900,6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6
2529,6.4,0.16,0.37,1.5,0.037,27,109,0.99345,3.38,0.5,9.8,6
4940,8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
6497,6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,6
2478,6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7
676,6.1,0.28,0.25,6.9,0.056,44,201,0.9955,3.19,0.4,9.1,6
34,6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6
453,5.9,0.46,0.14,2.7,0.042,27,160,0.9931,3.46,0.51,10.6,7
4745,5,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10,5
4385,6.4,0.26,0.21,8.2,0.05,51,182,0.99542,3.23,0.48,9.5,5
2145,8.2,0.21,0.32,10.65,0.053,53,145,0.9972,3.17,0.48,10.2,6
3918,6.2,0.28,0.51,7.9,0.056,49,206,0.9956,3.18,0.52,9.4,5
3365,6,0.2,0.26,1.1,0.033,38,67,0.98954,3.14,0.38,11.5,6
4441,6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,5
5772,9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,7
5347,8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,6
6288,6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,5
4868,5.3,0.6,0.34,1.4,0.031,3,60,0.98854,3.27,0.38,13,6
1470,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5
3893,6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,5
4430,6.1,0.31,0.34,2.8,0.042,59.5,162,0.99179,3.27,0.47,10.8,6
3109,7.6,0.35,0.46,14.7,0.047,33,151,0.99709,3.03,0.53,10.3,5
4961,7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7
5519,8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,5
482,5.9,0.36,0.41,1.3,0.047,45,104,0.9917,3.33,0.51,10.6,6
2311,6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,5
2229,7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7
965,5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,6
4988,7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5
3749,6.2,0.24,0.25,12.5,0.055,47,134,0.99758,3.3,0.51,9,5
1247,8,0.2,0.4,5.2,0.055,41,167,0.9953,3.18,0.4,10.6,7
929,6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5
880,6.9,0.12,0.36,2.2,0.037,18,111,0.9919,3.41,0.82,11.9,8
6365,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7
1291,8.4,0.16,0.33,1.5,0.033,16,98,0.994,3.14,0.42,9.7,6
5820,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6
4205,6.9,0.26,0.38,10.5,0.044,33,139,0.99517,3.06,0.5,10.3,6
