@relation winequality-white-weka.filters.unsupervised.attribute.AddID-Cfirst-NID-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.AddID-Cfirst-Ntype_of_wine-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-V

@attribute type_of_wine numeric
@attribute fixed_acidity numeric
@attribute volatile_acidity numeric
@attribute citric_acid numeric
@attribute residual_sugar numeric
@attribute chlorides numeric
@attribute free_sulfur_dioxide numeric
@attribute total_sulfur_dioxide numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality {quality,3,4,5,6,7,8,9}

@data
191,6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6
2647,5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,7
4603,6.4,0.17,0.34,13.4,0.044,45,139,0.99752,3.06,0.43,9.1,6
1634,7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,7
2193,7.9,0.28,0.41,4.9,0.058,31,153,0.9966,3.27,0.51,9.7,6
2284,7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5
197,6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5
3557,4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,7
5012,10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6
200,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5
2841,6.5,0.37,0.33,3.5,0.036,23,92,0.99136,3.18,0.38,11.2,6
202,7.1,0.32,0.24,13.1,0.05,52,204,0.998,3.1,0.49,8.8,5
3284,6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,6
5025,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5
6245,6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,5
6112,9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,6
207,7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,5
5083,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6
4055,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9,7
5553,8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,5
1845,6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,6
3470,7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,6
5501,7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5
2010,8,0.4,0.33,7.7,0.034,27,98,0.9935,3.18,0.41,12.2,7
215,6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7
1575,8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,4
1948,5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5
3597,6.6,0.17,0.28,1.1,0.034,55,108,0.98939,3,0.52,11.9,7
4099,6.6,0.21,0.34,5.6,0.046,30,140,0.99299,3.22,0.38,11,5
1699,7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,6
6419,6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6
222,7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6
5603,9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4
3171,7.6,0.17,0.46,0.9,0.036,63,147,0.99126,3.02,0.41,10.7,6
225,6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,6
5268,9.4,0.27,0.53,2.4,0.074,6,18,0.9962,3.2,1.13,12,7
2348,7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3,0.54,10.9,6
228,7.1,0.25,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,6
2227,7.7,0.28,0.58,12.1,0.046,60,177,0.9983,3.08,0.46,8.9,5
2247,6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4
4071,6.1,0.28,0.27,8,0.048,41,162,0.99498,3.21,0.51,9.9,5
5668,7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,5
5013,7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
2919,5.7,0.28,0.28,2.2,0.019,15,65,0.9902,3.06,0.52,11.2,6
235,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
6475,8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8,6
2679,7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5
2051,11.8,0.23,0.38,11.1,0.034,15,123,0.9997,2.93,0.55,9.7,3
3965,7.5,0.35,0.48,12.4,0.056,61,176.5,0.99803,2.97,0.52,8.8,5
240,6.2,0.25,0.21,15.55,0.039,28,159,0.9982,3.48,0.64,9.6,6
4728,6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,6
242,7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5
4094,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,6
4581,5.7,0.2,0.24,13.8,0.047,44,112,0.99837,2.97,0.66,8.8,6
245,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5
1376,6.2,0.3,0.32,1.7,0.032,30,130,0.9911,3.28,0.41,11.2,7
5811,10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,6
2994,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7
249,5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7
2170,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,7
2173,6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5
5087,7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5
253,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5
2750,7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,6
3112,6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7
256,6.7,0.26,0.39,1.1,0.04,45,147,0.9935,3.32,0.58,9.6,8
3920,6.6,0.31,0.28,1.4,0.035,28,107,0.98836,3,0.4,13.2,6
1304,8.2,0.2,0.36,8.1,0.035,60,163,0.9952,3.05,0.3,10.3,6
6016,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6
6346,6.8,0.67,0,1.9,0.08,22,39,0.99701,3.4,0.74,9.7,5
261,6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6
1535,7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,6
5122,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6
4973,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5
2854,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6
1675,6.8,0.22,0.29,8.9,0.046,82,188,0.9955,3.3,0.44,10.3,6
1512,8.8,0.23,0.74,3.2,0.042,15,126,0.9934,3.02,0.51,11.2,6
268,5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5
4904,7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5
270,5.4,0.59,0.07,7,0.045,36,147,0.9944,3.34,0.57,9.7,6
2014,6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,6
5414,8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5
273,5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,5
2609,7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6
2257,7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,5
2692,6.2,0.28,0.27,10.3,0.03,26,108,0.99388,3.2,0.36,10.7,6
2320,6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7
5989,10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,8
3874,7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9,5
2036,8.8,0.2,0.28,1.1,0.018,18,72,0.9926,2.97,0.35,10.4,5
281,7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,8
2873,4.2,0.17,0.36,1.8,0.029,93,161,0.98999,3.65,0.89,12,7
283,6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,4
6276,5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6
5477,8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,5
2176,7.4,0.19,0.3,12.8,0.053,48.5,212,0.9986,3.14,0.49,9.1,7
2627,8,0.24,0.26,1.7,0.033,36,136,0.99316,3.44,0.51,10.4,7
288,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
289,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7
3674,5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7
3446,6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8
1564,7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,6
1422,6.2,0.18,0.49,4.5,0.047,17,90,0.9919,3.27,0.37,11.6,6
2511,6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,6
2636,8.2,0.32,0.26,2.1,0.062,26,87,0.98974,3.1,0.47,12.8,6
3759,6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7,5
297,8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5
